t[s];CAN3.VCU_APPS_RAW.apps_1000[]
0.000000;0
0.010000;0
0.020000;0
0.030000;0
0.040000;0
0.050000;0
0.060000;0
0.070000;0
0.080000;0
0.090000;0
0.100000;0
0.110000;0
0.120000;0
0.130000;0
0.140000;0
0.150000;0
0.160000;0
0.170000;0
0.180000;0
0.190000;0
0.200000;0
0.210000;0
0.220000;0
0.230000;0
0.240000;0
0.250000;0
0.260000;0
0.270000;0
0.280000;0
0.290000;0
0.300000;0
0.310000;0
0.320000;0
0.330000;0
0.340000;0
0.350000;0
0.360000;0
0.370000;0
0.380000;0
0.390000;0
0.400000;0
0.410000;0
0.420000;0
0.430000;0
0.440000;0
0.450000;0
0.460000;0
0.470000;0
0.480000;0
0.490000;0
0.500000;0
0.510000;0
0.520000;0
0.530000;0
0.540000;0
0.550000;0
0.560000;0
0.570000;0
0.580000;0
0.590000;0
0.600000;0
0.610000;0
0.620000;0
0.630000;0
0.640000;0
0.650000;0
0.660000;0
0.670000;0
0.680000;0
0.690000;0
0.700000;0
0.710000;0
0.720000;0
0.730000;0
0.740000;0
0.750000;0
0.760000;0
0.770000;0
0.780000;0
0.790000;0
0.800000;0
0.810000;0
0.820000;0
0.830000;0
0.840000;0
0.850000;0
0.860000;0
0.870000;0
0.880000;0
0.890000;0
0.900000;0
0.910000;0
0.920000;0
0.930000;0
0.940000;0
0.950000;0
0.960000;0
0.970000;0
0.980000;0
0.990000;0
1.000000;0
1.010000;0
1.020000;0
1.030000;0
1.040000;0
1.050000;0
1.060000;0
1.070000;0
1.080000;0
1.090000;0
1.100000;0
1.110000;0
1.120000;0
1.130000;0
1.140000;0
1.150000;0
1.160000;0
1.170000;0
1.180000;0
1.190000;0
1.200000;0
1.210000;0
1.220000;0
1.230000;0
1.240000;0
1.250000;0
1.260000;0
1.270000;0
1.280000;0
1.290000;0
1.300000;0
1.310000;0
1.320000;0
1.330000;0
1.340000;0
1.350000;0
1.360000;0
1.370000;0
1.380000;0
1.390000;0
1.400000;0
1.410000;0
1.420000;0
1.430000;0
1.440000;0
1.450000;0
1.460000;0
1.470000;0
1.480000;0
1.490000;13
1.500000;56
1.510000;99
1.520000;144
1.530000;191
1.540000;245
1.550000;303
1.560000;357
1.570000;416
1.580000;490
1.590000;565
1.600000;636
1.610000;710
1.620000;777
1.630000;842
1.640000;907
1.650000;966
1.660000;999
1.670000;999
1.680000;999
1.690000;999
1.700000;999
1.710000;999
1.720000;999
1.730000;999
1.740000;999
1.750000;999
1.760000;999
1.770000;999
1.780000;999
1.790000;999
1.800000;999
1.810000;999
1.820000;999
1.830000;999
1.840000;999
1.850000;999
1.860000;999
1.870000;999
1.880000;999
1.900000;999
1.910000;999
1.920000;999
1.930000;999
1.940000;999
1.950000;999
1.960000;999
1.970000;999
1.980000;999
1.990000;999
2.000000;999
2.010000;999
2.020000;999
2.030000;999
2.040000;999
2.050000;999
2.060000;999
2.070000;999
2.080000;999
2.090000;999
2.100000;999
2.110000;999
2.120000;999
2.130000;999
2.140000;999
2.150000;999
2.160000;999
2.170000;999
2.180000;999
2.190000;999
2.200000;999
2.210000;999
2.220000;999
2.230000;999
2.240000;999
2.250000;999
2.260000;999
2.270000;999
2.280000;999
2.290000;999
2.300000;999
2.310000;999
2.320000;999
2.330000;999
2.340000;999
2.350000;999
2.360000;999
2.370000;999
2.380000;999
2.390000;999
2.400000;999
2.410000;999
2.420000;999
2.430000;999
2.440000;999
2.450000;999
2.460000;999
2.470000;999
2.480000;999
2.490000;999
2.500000;999
2.510000;999
2.520000;999
2.530000;999
2.540000;999
2.550000;999
2.560000;999
2.570000;999
2.580000;999
2.590000;999
2.600000;999
2.610000;999
2.620000;999
2.630000;999
2.640000;999
2.650000;999
2.660000;999
2.670000;999
2.680000;999
2.690000;999
2.700000;999
2.710000;999
2.720000;999
2.730000;999
2.740000;999
2.750000;999
2.760000;999
2.770000;999
2.780000;999
2.790000;999
2.800000;999
2.810000;999
2.820000;999
2.830000;999
2.840000;999
2.850000;999
2.860000;999
2.870000;999
2.880000;999
2.890000;999
2.900000;999
2.910000;999
2.920000;999
2.930000;999
2.940000;999
2.950000;999
2.960000;999
2.970000;999
2.980000;999
2.990000;999
3.000000;999
3.010000;999
3.020000;999
3.030000;999
3.040000;999
3.050000;999
3.060000;999
3.070000;999
3.080000;999
3.090000;999
3.100000;999
3.110000;999
3.120000;999
3.130000;999
3.140000;999
3.150000;999
3.160000;999
3.170000;999
3.180000;999
3.190000;999
3.200000;999
3.210000;999
3.220000;999
3.230000;999
3.240000;999
3.250000;999
3.260000;999
3.270000;999
3.280000;999
3.290000;999
3.300000;999
3.310000;999
3.320000;999
3.330000;999
3.340000;999
3.350000;999
3.360000;999
3.370000;999
3.380000;999
3.390000;999
3.400000;999
3.410000;999
3.420000;999
3.430000;999
3.440000;999
3.450000;999
3.460000;999
3.470000;999
3.480000;999
3.490000;999
3.500000;999
3.510000;999
3.520000;999
3.530000;999
3.540000;999
3.550000;999
3.560000;999
3.570000;999
3.580000;999
3.590000;999
3.600000;999
3.610000;999
3.620000;999
3.630000;999
3.640000;999
3.650000;999
3.660000;999
3.670000;999
3.680000;999
3.690000;999
3.700000;999
3.710000;999
3.720000;999
3.730000;999
3.740000;999
3.750000;999
3.760000;999
3.770000;999
3.780000;999
3.790000;999
3.800000;999
3.810000;999
3.820000;999
3.830000;999
3.840000;999
3.850000;999
3.860000;999
3.870000;999
3.880000;999
3.890000;999
3.900000;999
3.910000;999
3.920000;999
3.930000;999
3.940000;999
3.950000;999
3.960000;862
3.970000;680
3.980000;501
3.990000;321
4.000000;158
4.010000;40
4.020000;0
4.030000;0
4.040000;0
4.050000;0
4.060000;0
4.070000;0
4.080000;0
4.090000;0
4.100000;0
4.110000;0
4.120000;0
4.130000;0
4.140000;0
4.150000;0
4.160000;0
4.170000;0
4.180000;0
4.190000;0
4.200000;0
4.210000;0
4.220000;0
4.230000;0
4.240000;0
4.250000;0
4.260000;0
4.270000;0
4.280000;0
4.290000;0
4.300000;0
4.310000;0
4.320000;0
4.330000;0
4.340000;0
4.350000;0
4.360000;0
4.370000;0
4.380000;0
4.390000;0
4.400000;0
4.410000;0
4.420000;0
4.430000;0
4.440000;0
4.450000;0
4.460000;0
4.470000;0
4.480000;0
4.490000;0
4.500000;0
4.510000;0
4.520000;0
4.530000;2
4.540000;27
4.550000;55
4.560000;87
4.570000;126
4.580000;171
4.590000;219
4.600000;269
4.610000;311
4.620000;341
4.630000;367
4.640000;390
4.650000;422
4.660000;457
4.670000;490
4.680000;511
4.690000;519
4.700000;521
4.710000;511
4.720000;499
4.730000;481
4.740000;440
4.750000;373
4.760000;291
4.770000;200
4.780000;111
4.790000;39
4.800000;3
4.810000;5
4.820000;5
4.830000;9
4.840000;10
4.850000;4
4.860000;0
4.870000;0
4.880000;0
4.890000;0
4.900000;0
4.910000;0
4.920000;0
4.930000;0
4.940000;0
4.950000;0
4.960000;0
4.970000;0
4.980000;0
4.990000;0
5.000000;0
5.010000;0
5.020000;0
5.030000;0
5.040000;0
5.050000;0
5.060000;0
5.070000;0
5.080000;0
5.090000;0
5.100000;0
5.110000;0
5.120000;0
5.130000;0
5.140000;0
5.150000;0
5.160000;0
5.170000;0
5.180000;0
5.190000;0
5.200000;0
5.210000;0
5.220000;0
5.230000;0
5.240000;0
5.250000;0
5.260000;0
5.270000;0
5.280000;0
5.290000;0
5.300000;0
5.310000;0
5.320000;0
5.330000;0
5.340000;0
5.350000;0
5.360000;0
5.370000;0
5.380000;0
5.390000;0
5.400000;0
5.410000;0
5.420000;0
5.430000;0
5.440000;0
5.450000;0
5.460000;0
5.470000;0
5.480000;0
5.490000;0
5.500000;0
5.510000;0
5.520000;0
5.530000;0
5.540000;0
5.550000;0
5.560000;0
5.570000;0
5.580000;0
5.590000;0
5.600000;0
5.610000;0
5.620000;0
5.630000;0
5.640000;0
5.650000;0
5.660000;0
5.670000;0
5.680000;0
5.690000;0
5.700000;0
5.710000;0
5.720000;0
5.730000;0
5.740000;0
5.750000;0
5.760000;0
5.770000;0
5.780000;0
5.790000;0
5.800000;0
5.810000;48
5.820000;106
5.830000;163
5.840000;215
5.850000;263
5.860000;313
5.870000;348
5.880000;380
5.890000;408
5.900000;441
5.910000;474
5.920000;506
5.930000;536
5.940000;561
5.950000;574
5.960000;581
5.970000;577
5.980000;574
5.990000;569
6.000000;558
6.010000;547
6.020000;525
6.030000;514
6.040000;509
6.050000;513
6.060000;518
6.070000;514
6.080000;514
6.090000;516
6.100000;517
6.110000;516
6.120000;521
6.130000;527
6.140000;532
6.150000;543
6.160000;553
6.170000;566
6.180000;578
6.190000;585
6.200000;594
6.210000;603
6.220000;614
6.230000;630
6.240000;636
6.250000;643
6.260000;660
6.270000;651
6.280000;657
6.290000;664
6.300000;674
6.310000;686
6.320000;693
6.330000;706
6.340000;711
6.360000;712
6.370000;711
6.380000;712
6.390000;709
6.400000;716
6.410000;715
6.420000;711
6.430000;715
6.440000;716
6.450000;717
6.460000;722
6.470000;724
6.480000;733
6.490000;733
6.500000;744
6.510000;754
6.520000;761
6.530000;757
6.540000;753
6.550000;733
6.560000;749
6.570000;741
6.580000;731
6.590000;727
6.600000;724
6.610000;720
6.620000;712
6.630000;700
6.640000;700
6.650000;699
6.660000;697
6.670000;697
6.680000;697
6.690000;689
6.700000;674
6.710000;627
6.720000;563
6.730000;488
6.740000;408
6.750000;343
6.760000;283
6.770000;229
6.780000;203
6.790000;188
6.800000;181
6.810000;183
6.820000;188
6.830000;196
6.840000;200
6.850000;217
6.860000;234
6.870000;258
6.880000;284
6.890000;309
6.900000;334
6.910000;353
6.920000;375
6.930000;371
6.940000;367
6.950000;365
6.960000;356
6.970000;354
6.980000;340
7.000000;301
7.010000;283
7.020000;281
7.030000;282
7.040000;283
7.050000;286
7.060000;291
7.070000;300
7.080000;312
7.090000;330
7.100000;349
7.110000;363
7.120000;370
7.130000;373
7.140000;376
7.150000;387
7.160000;396
7.170000;412
7.180000;431
7.190000;451
7.200000;471
7.210000;489
7.220000;508
7.230000;516
7.240000;522
7.250000;529
7.260000;531
7.270000;532
7.280000;534
7.290000;530
7.300000;531
7.310000;531
7.320000;530
7.330000;530
7.340000;532
7.350000;532
7.360000;534
7.370000;534
7.380000;542
7.390000;530
7.400000;535
7.410000;522
7.420000;521
7.430000;516
7.440000;517
7.450000;517
7.460000;519
7.470000;515
7.480000;519
7.490000;518
7.500000;518
7.510000;511
7.520000;500
7.530000;466
7.540000;425
7.550000;387
7.560000;348
7.570000;317
7.580000;298
7.590000;290
7.600000;289
7.610000;275
7.620000;246
7.630000;202
7.650000;113
7.660000;66
7.670000;34
7.680000;18
7.690000;14
7.700000;15
7.710000;14
7.720000;13
7.730000;9
7.740000;0
7.750000;0
7.760000;0
7.770000;0
7.780000;0
7.790000;0
7.800000;0
7.810000;0
7.820000;0
7.830000;0
7.840000;0
7.850000;0
7.860000;0
7.870000;0
7.880000;0
7.890000;0
7.900000;0
7.910000;0
7.920000;0
7.930000;0
7.940000;0
7.950000;0
7.960000;0
7.970000;0
7.980000;1
7.990000;29
8.000000;56
8.010000;76
8.020000;96
8.030000;133
8.040000;171
8.050000;211
8.060000;242
8.070000;272
8.080000;299
8.090000;308
8.100000;315
8.110000;329
8.130000;336
8.140000;341
8.150000;341
8.160000;345
8.170000;334
8.180000;325
8.190000;305
8.200000;269
8.210000;221
8.220000;165
8.230000;107
8.240000;86
8.250000;95
8.260000;98
8.270000;110
8.280000;118
8.290000;126
8.300000;122
8.310000;126
8.320000;132
8.330000;137
8.340000;140
8.350000;145
8.360000;146
8.370000;153
8.380000;149
8.390000;150
8.400000;148
8.410000;146
8.420000;145
8.430000;145
8.440000;144
8.450000;145
8.460000;145
8.470000;148
8.480000;153
8.490000;173
8.500000;185
8.510000;197
8.520000;216
8.530000;237
8.540000;257
8.550000;276
8.560000;289
8.570000;299
8.580000;300
8.590000;307
8.600000;307
8.610000;314
8.620000;318
8.630000;323
8.640000;331
8.650000;341
8.660000;355
8.670000;373
8.680000;388
8.690000;407
8.700000;408
8.710000;413
8.720000;412
8.730000;414
8.740000;415
8.750000;410
8.760000;413
8.770000;412
8.780000;400
8.790000;403
8.800000;404
8.810000;403
8.820000;405
8.830000;403
8.840000;407
8.850000;408
8.860000;407
8.870000;406
8.880000;408
8.890000;408
8.900000;407
8.910000;407
8.920000;401
8.930000;403
8.940000;398
8.950000;392
8.960000;375
8.970000;358
8.980000;334
8.990000;305
9.000000;296
9.010000;291
9.020000;284
9.030000;288
9.040000;290
9.050000;291
9.060000;290
9.070000;291
9.080000;289
9.090000;283
9.100000;272
9.110000;258
9.120000;245
9.130000;227
9.140000;202
9.150000;185
9.160000;158
9.170000;139
9.180000;129
9.190000;119
9.200000;116
9.210000;119
9.220000;120
9.230000;126
9.240000;124
9.250000;131
9.260000;132
9.270000;135
9.280000;145
9.290000;141
9.300000;132
9.310000;136
9.320000;128
9.330000;123
9.340000;124
9.350000;123
9.360000;126
9.370000;128
9.380000;133
9.390000;140
9.400000;145
9.410000;156
9.420000;183
9.430000;200
9.440000;232
9.450000;254
9.460000;283
9.470000;309
9.480000;331
9.490000;351
9.500000;367
9.510000;381
9.520000;388
9.530000;397
9.540000;405
9.550000;407
9.560000;413
9.570000;424
9.580000;439
9.590000;454
9.600000;472
9.610000;492
9.620000;515
9.630000;540
9.640000;558
9.650000;583
9.660000;613
9.670000;634
9.680000;657
9.690000;668
9.700000;676
9.710000;677
9.720000;670
9.730000;669
9.740000;669
9.750000;670
9.760000;668
9.770000;669
9.780000;669
9.790000;670
9.800000;670
9.810000;666
9.820000;665
9.830000;661
9.840000;658
9.850000;652
9.860000;649
9.870000;642
9.880000;617
9.890000;573
9.900000;527
9.910000;462
9.920000;395
9.930000;334
9.940000;289
9.950000;242
9.960000;189
9.970000;128
9.980000;64
9.990000;17
10.000000;0
10.010000;0
10.020000;0
10.030000;0
10.040000;0
10.050000;0
10.060000;0
10.070000;0
10.080000;0
10.090000;0
10.100000;0
10.110000;0
10.120000;9
10.130000;20
10.140000;36
10.150000;59
10.160000;78
10.170000;104
10.180000;130
10.190000;157
10.200000;182
10.210000;203
10.220000;216
10.230000;231
10.240000;240
10.250000;253
10.260000;269
10.270000;288
10.280000;316
10.290000;347
10.300000;371
10.310000;397
10.320000;414
10.330000;435
10.340000;433
10.350000;435
10.360000;429
10.370000;427
10.380000;423
10.390000;424
10.400000;424
10.410000;425
10.420000;421
10.430000;422
10.440000;425
10.450000;412
10.460000;424
10.470000;417
10.480000;427
10.490000;418
10.500000;421
10.510000;421
10.520000;417
10.530000;437
10.540000;443
10.550000;458
10.560000;451
10.570000;456
10.580000;462
10.590000;466
10.600000;469
10.610000;476
10.620000;476
10.630000;476
10.640000;481
10.650000;480
10.660000;480
10.670000;480
10.680000;477
10.690000;479
10.700000;476
10.710000;474
10.720000;473
10.730000;467
10.740000;475
10.750000;472
10.760000;475
10.770000;473
10.780000;474
10.790000;473
10.800000;471
10.810000;469
10.820000;467
10.830000;465
10.840000;465
10.850000;466
10.860000;469
10.870000;481
10.880000;475
10.890000;477
10.900000;481
10.910000;488
10.920000;491
10.930000;496
10.940000;501
10.950000;502
10.960000;500
10.970000;502
10.980000;496
10.990000;493
11.000000;490
11.010000;481
11.020000;468
11.030000;449
11.040000;424
11.050000;400
11.060000;378
11.070000;350
11.080000;338
11.090000;340
11.100000;338
11.110000;343
11.120000;341
11.130000;345
11.140000;341
11.150000;340
11.160000;341
11.170000;341
11.180000;341
11.190000;339
11.200000;340
11.210000;339
11.220000;339
11.230000;338
11.240000;337
11.250000;338
11.260000;339
11.270000;342
11.280000;340
11.290000;338
11.300000;339
11.310000;338
11.320000;336
11.330000;330
11.340000;317
11.350000;298
11.360000;278
11.370000;263
11.380000;254
11.390000;254
11.400000;257
11.410000;262
11.420000;262
11.430000;272
11.440000;284
11.450000;298
11.460000;317
11.470000;338
11.480000;359
11.490000;375
11.500000;383
11.510000;387
11.520000;381
11.530000;371
11.540000;361
11.550000;338
11.560000;300
11.570000;273
11.580000;272
11.590000;271
11.600000;262
11.610000;246
11.620000;220
11.630000;190
11.640000;172
11.650000;164
11.660000;168
11.670000;170
11.680000;170
11.700000;182
11.710000;188
11.720000;206
11.730000;210
11.740000;214
11.750000;217
11.760000;219
11.770000;211
11.780000;217
11.790000;204
11.800000;185
11.810000;161
11.820000;156
11.830000;154
11.840000;156
11.850000;156
11.860000;157
11.870000;164
11.880000;169
11.890000;168
11.900000;177
11.910000;196
11.920000;216
11.930000;240
11.940000;257
11.950000;272
11.960000;281
11.970000;294
11.980000;303
11.990000;312
12.000000;322
12.010000;329
12.020000;336
12.030000;338
12.040000;337
12.050000;339
12.060000;343
12.070000;349
12.080000;358
12.090000;371
12.100000;385
12.110000;403
12.120000;425
12.130000;448
12.140000;469
12.150000;493
12.160000;518
12.170000;534
12.180000;551
12.190000;555
12.200000;551
12.210000;549
12.220000;548
12.230000;543
12.240000;539
12.250000;542
12.260000;525
12.270000;516
12.280000;501
12.290000;494
12.300000;490
12.310000;488
12.320000;488
12.330000;489
12.340000;493
12.350000;494
12.360000;497
12.370000;500
12.380000;501
12.390000;502
12.400000;500
12.410000;499
12.420000;494
12.430000;493
12.440000;492
12.450000;487
12.460000;477
12.470000;471
12.480000;465
12.490000;460
12.500000;458
12.510000;458
12.520000;457
12.530000;460
12.540000;458
12.550000;457
12.560000;451
12.570000;455
12.580000;454
12.590000;454
12.600000;449
12.610000;442
12.620000;437
12.630000;433
12.640000;438
12.650000;441
12.660000;441
12.670000;441
12.680000;445
12.690000;449
12.700000;451
12.710000;455
12.720000;455
12.730000;452
12.740000;455
12.750000;451
12.760000;448
12.770000;446
12.780000;440
12.790000;429
12.800000;418
12.810000;407
12.820000;398
12.830000;396
12.840000;392
12.850000;390
12.860000;389
12.870000;393
12.880000;396
12.890000;398
12.900000;401
12.910000;401
12.920000;404
12.930000;400
12.940000;395
12.950000;379
12.960000;364
12.970000;351
12.980000;355
12.990000;350
13.000000;357
13.010000;358
13.020000;359
13.030000;345
13.040000;336
13.050000;332
13.060000;329
13.070000;325
13.080000;329
13.090000;334
13.100000;334
13.110000;337
13.120000;333
13.140000;309
13.150000;289
13.160000;271
13.170000;259
13.180000;261
13.190000;259
13.200000;255
13.210000;249
13.220000;249
13.230000;245
13.240000;242
13.250000;240
13.260000;246
13.270000;242
13.280000;245
13.290000;241
13.300000;234
13.310000;228
13.320000;225
13.330000;224
13.340000;228
13.350000;228
13.360000;230
13.370000;234
13.380000;232
13.390000;238
13.400000;245
13.410000;257
13.420000;273
13.430000;296
13.440000;318
13.450000;346
13.460000;366
13.470000;384
13.480000;390
13.490000;384
13.500000;385
13.510000;378
13.520000;370
13.530000;353
13.540000;336
13.550000;320
13.560000;309
13.570000;308
13.580000;306
13.590000;313
13.600000;313
13.610000;312
13.620000;317
13.630000;322
13.650000;339
13.660000;351
13.670000;366
13.680000;381
13.690000;392
13.700000;395
13.720000;391
13.730000;393
13.740000;391
13.750000;393
13.760000;396
13.770000;395
13.780000;401
13.790000;407
13.800000;406
13.810000;406
13.820000;407
13.830000;403
13.840000;406
13.850000;405
13.860000;408
13.870000;409
13.880000;409
13.890000;414
13.900000;417
13.910000;423
13.920000;422
13.930000;423
13.940000;421
13.950000;418
13.960000;417
13.970000;417
13.980000;416
13.990000;416
14.000000;412
14.010000;414
14.020000;416
14.030000;420
14.040000;418
14.050000;408
14.060000;405
14.070000;400
14.080000;398
14.090000;393
14.100000;380
14.110000;368
14.120000;351
14.130000;339
14.140000;334
14.150000;333
14.160000;332
14.170000;337
14.180000;337
14.190000;339
14.200000;339
14.210000;349
14.220000;357
14.230000;365
14.240000;367
14.250000;385
14.270000;396
14.280000;391
14.290000;396
14.300000;387
14.310000;371
14.320000;364
14.330000;331
14.350000;262
14.360000;232
14.370000;210
14.380000;204
14.390000;217
14.400000;222
14.410000;222
14.420000;222
14.430000;214
14.440000;207
14.450000;208
14.460000;208
14.470000;212
14.480000;214
14.490000;216
14.500000;216
14.510000;219
14.520000;215
14.530000;208
14.540000;200
14.550000;192
14.560000;191
14.570000;190
14.580000;186
14.590000;188
14.600000;186
14.610000;189
14.620000;196
14.630000;210
14.640000;207
14.650000;220
14.660000;229
14.670000;238
14.680000;247
